virus,casos,participacao_percent
Não identificado,859,39.31350114416476
Influenza A,699,31.990846681922196
VSR,217,9.931350114416476
Influenza,129,5.9038901601830664
Rinovírus,104,4.759725400457666
Outro vírus respiratório,64,2.9290617848970255
SARS-CoV-2,38,1.7391304347826086
Metapneumovírus,38,1.7391304347826086
Adenovírus,22,1.0068649885583525
Influenza B,15,0.6864988558352403
