NM_MUN,NM_RGI,notificacoes,casos_recentes,incidencia_100k,incidencia_recente_100k,tx_uti_percent,letalidade_percent,score_risco_srag,classe_risco_srag
Pontal do Araguaia,Barra do Garças,1.0,0.0,5.278158978148422,0.0,100.0,0.0,35.58,Moderado
Marcelândia,Sinop,10.0,0.0,382.262996941896,0.0,60.0,10.0,35.5,Moderado
Campo Novo do Parecis,Tangará da Serra,3.0,0.0,5.800239743242721,0.0,100.0,0.0,34.97,Moderado
Rosário Oeste,Cuiabá,2.0,0.0,13.296988232165415,0.0,100.0,0.0,33.97,Moderado
Curvelândia,Cáceres,7.0,2.0,1.011743450767841,0.28906955736224027,85.71428571428571,0.0,33.8,Moderado
Cáceres,Cáceres,54.0,12.0,58.84468272908562,13.076596162019026,40.38461538461539,0.0,33.65,Moderado
Rio Branco,Cáceres,3.0,0.0,67.56756756756756,0.0,66.66666666666666,0.0,32.59,Moderado
São José do Rio Claro,Diamantino,4.0,0.0,27.67208578346593,0.0,100.0,0.0,31.94,Moderado
Diamantino,Diamantino,3.0,0.0,44.943820224719104,0.0,100.0,0.0,30.53,Moderado
Santa Carmem,Sinop,3.0,0.0,51.76876617773944,0.0,0.0,100.0,30.22,Moderado
São José dos Quatro Marcos,Mirassol D'oeste,5.0,0.0,16.077170418006432,0.0,60.0,0.0,30.19,Moderado
Tapurah,Sorriso,5.0,0.0,4.362887533485162,0.0,75.0,0.0,30.18,Moderado
Rondonópolis,Rondonópolis,43.0,7.0,16.305914117129554,2.654451135346671,47.5,2.5,30.0,Moderado
Cocalinho,Água Boa,2.0,0.0,30.792917628945343,0.0,50.0,0.0,29.85,Moderado
Nobres,Cuiabá,5.0,0.0,31.653583185616608,0.0,60.0,0.0,29.77,Moderado
Glória D'Oeste,Mirassol D'oeste,4.0,0.0,63.30115524608325,0.0,50.0,0.0,29.75,Moderado
Mirassol d'Oeste,Mirassol D'oeste,4.0,0.0,18.215765745252515,0.0,50.0,0.0,29.28,Moderado
Arenápolis,Diamantino,2.0,0.0,18.571826539140122,0.0,100.0,0.0,28.96,Moderado
Porto Estrela,Tangará da Serra,2.0,0.0,63.673989175421845,0.0,100.0,0.0,28.71,Moderado
Jauru,Mirassol D'oeste,2.0,0.0,26.97963037906381,0.0,50.0,0.0,28.61,Moderado
Campo Verde,Cuiabá,4.0,0.0,8.154445191935254,0.0,50.0,0.0,28.48,Moderado
Juara,Juara,12.0,1.0,152.26494099733537,12.688745083111279,22.22222222222222,0.0,27.92,Moderado
Tangará da Serra,Tangará da Serra,3.0,0.0,30.31834259727135,0.0,66.66666666666666,0.0,27.83,Moderado
Porto dos Gaúchos,Juara,5.0,1.0,67.1952694530305,13.439053890606102,0.0,0.0,27.35,Moderado
Sorriso,Sorriso,43.0,2.0,19.215300741799982,0.8937349182232549,17.94871794871795,0.0,26.4,Moderado
Nova Canaã do Norte,Sinop,4.0,0.0,34.088972217487644,0.0,25.0,0.0,26.36,Moderado
Juína,Juína,5.0,0.0,13.85463714705312,0.0,50.0,0.0,25.92,Moderado
Campinápolis,Água Boa,20.0,2.0,126.51821862348179,12.651821862348179,0.0,0.0,25.84,Moderado
Água Boa,Água Boa,2.0,0.0,6.230723698557587,0.0,50.0,0.0,25.76,Moderado
Nova Brasilândia,Cuiabá,1.0,0.0,26.37826431020839,0.0,0.0,0.0,24.35,Baixo
Colniza,Juína,12.0,0.0,46.107738415430724,0.0,36.36363636363637,0.0,24.19,Baixo
Comodoro,Pontes e Lacerda - Comodoro,4.0,0.0,21.657913260057395,0.0,25.0,0.0,24.02,Baixo
Nova Guarita,Sinop,1.0,0.0,21.99736031676199,0.0,0.0,0.0,22.81,Baixo
Nova Monte Verde,Alta Floresta,1.0,0.0,11.80637544273908,0.0,0.0,0.0,22.74,Baixo
Barra do Garças,Barra do Garças,28.0,4.0,37.9003221527383,5.4143317361054715,3.7037037037037033,0.0,22.74,Baixo
Reserva do Cabaçal,Mirassol D'oeste,2.0,0.0,99.00990099009901,0.0,0.0,0.0,21.35,Baixo
Cotriguaçu,Juína,1.0,0.0,25.588536335721596,0.0,0.0,0.0,20.55,Baixo
Pedra Preta,Rondonópolis,4.0,0.0,195.98236158745712,0.0,0.0,0.0,20.31,Baixo
Querência,Água Boa,36.0,0.0,37.49765639647522,0.0,0.0,3.225806451612903,20.1,Baixo
Barão de Melgaço,Cuiabá,2.0,0.0,28.022978842650975,0.0,0.0,0.0,19.96,Baixo
Cláudia,Sinop,2.0,0.0,21.503064186646597,0.0,0.0,0.0,18.64,Baixo
Nortelândia,Diamantino,1.0,0.0,6.330716637123322,0.0,0.0,0.0,17.86,Baixo
Salto do Céu,Cáceres,2.0,0.0,54.68963631391851,0.0,0.0,0.0,17.48,Baixo
Figueirópolis D'Oeste,Mirassol D'oeste,5.0,0.0,47.51496721467262,0.0,0.0,0.0,17.11,Baixo
Feliz Natal,Sinop,5.0,0.0,63.371356147021544,0.0,0.0,0.0,16.57,Baixo
Conquista D'Oeste,Pontes e Lacerda - Comodoro,1.0,0.0,25.588536335721596,0.0,0.0,0.0,16.44,Baixo
Terra Nova do Norte,Sinop,2.0,1.0,12.78935925310142,6.39467962655071,0.0,0.0,15.91,Baixo
Boa Esperança do Norte,Sorriso,1.0,0.0,,,0.0,0.0,15.0,Baixo
Acorizal,Cuiabá,0.0,0.0,0.0,0.0,,,11.38,Baixo
Jangada,Cuiabá,0.0,0.0,0.0,0.0,,,10.91,Baixo
Araguaiana,Barra do Garças,1.0,0.0,24.968789013732835,0.0,,,10.72,Baixo
São José do Xingu,Confresa - Vila Rica,0.0,0.0,0.0,0.0,,,10.06,Baixo
Ribeirão Cascalheira,Água Boa,2.0,0.0,18.97353192296746,0.0,,,9.45,Baixo
Nova Bandeirantes,Alta Floresta,1.0,0.0,8.577800651912849,0.0,,,9.43,Baixo
Juscimeira,Jaciara,0.0,0.0,0.0,0.0,,,8.99,Baixo
Juruena,Juína,0.0,0.0,0.0,0.0,,,8.85,Baixo
Porto Alegre do Norte,Confresa - Vila Rica,0.0,0.0,0.0,0.0,,,8.83,Baixo
Alto Paraguai,Diamantino,0.0,0.0,0.0,0.0,,,8.8,Baixo
Poxoréu,Primavera do Leste,0.0,0.0,0.0,0.0,,,8.62,Baixo
Ponte Branca,Barra do Garças,0.0,0.0,0.0,0.0,,,8.44,Baixo
Carlinda,Alta Floresta,0.0,0.0,0.0,0.0,,,8.43,Baixo
Nova Nazaré,Água Boa,0.0,0.0,0.0,0.0,,,8.29,Baixo
General Carneiro,Barra do Garças,0.0,0.0,0.0,0.0,,,7.73,Baixo
Novo Santo Antônio,Confresa - Vila Rica,0.0,0.0,0.0,0.0,,,7.61,Baixo
Nova Maringá,Diamantino,0.0,0.0,0.0,0.0,,,6.96,Baixo
Paranatinga,Primavera do Leste,0.0,0.0,0.0,0.0,,,6.95,Baixo
Luciara,Confresa - Vila Rica,0.0,0.0,0.0,0.0,,,6.85,Baixo
Planalto da Serra,Cuiabá,0.0,0.0,0.0,0.0,,,6.84,Baixo
Itiquira,Rondonópolis,0.0,0.0,0.0,0.0,,,6.63,Baixo
Castanheira,Juína,0.0,0.0,0.0,0.0,,,6.54,Baixo
São Pedro da Cipa,Jaciara,0.0,0.0,0.0,0.0,,,6.39,Baixo
Novo São Joaquim,Barra do Garças,0.0,0.0,0.0,0.0,,,6.29,Baixo
Dom Aquino,Jaciara,0.0,0.0,0.0,0.0,,,6.08,Baixo
Araguainha,Rondonópolis,0.0,0.0,0.0,0.0,,,5.83,Baixo
São Félix do Araguaia,Confresa - Vila Rica,0.0,0.0,0.0,0.0,,,5.75,Baixo
Ribeirãozinho,Barra do Garças,0.0,0.0,0.0,0.0,,,5.74,Baixo
São José do Povo,Rondonópolis,0.0,0.0,0.0,0.0,,,5.72,Baixo
Santo Antônio do Leste,Primavera do Leste,0.0,0.0,0.0,0.0,,,5.64,Baixo
Alto Boa Vista,Confresa - Vila Rica,0.0,0.0,0.0,0.0,,,5.5,Baixo
Alto Araguaia,Rondonópolis,0.0,0.0,0.0,0.0,,,5.46,Baixo
Santa Terezinha,Confresa - Vila Rica,0.0,0.0,0.0,0.0,,,5.39,Baixo
Itanhangá,Sorriso,0.0,0.0,0.0,0.0,,,5.38,Baixo
Santa Rita do Trivelato,Sorriso,0.0,0.0,0.0,0.0,,,5.31,Baixo
Santa Cruz do Xingu,Confresa - Vila Rica,0.0,0.0,0.0,0.0,,,5.28,Baixo
Nova Xavantina,Barra do Garças,0.0,0.0,0.0,0.0,,,5.06,Baixo
Rondolândia,Juína,1.0,0.0,28.425241614553723,0.0,,,4.95,Baixo
Bom Jesus do Araguaia,Confresa - Vila Rica,0.0,0.0,0.0,0.0,,,4.92,Baixo
Serra Nova Dourada,Confresa - Vila Rica,0.0,0.0,0.0,0.0,,,4.82,Baixo
Canabrava do Norte,Confresa - Vila Rica,1.0,0.0,22.46686137946529,0.0,,,4.82,Baixo
