metrica,horizonte_dias,data_inicial,data_final,valor_esperado,ic95_inf,ic95_sup,valor_minimo,valor_maximo
casos,7,2026-04-28,2026-05-04,12.049285714285716,0.0,27.098818823322688,4.485714285714286,20.571428571428573
casos,15,2026-04-28,2026-05-12,104.87491596638657,0.0,232.29987112461617,39.34285714285714,176.4245798319328
casos,30,2026-04-28,2026-05-27,247.96731092436977,0.0,557.4517673977332,92.22857142857143,488.6079831932774
notificacoes,7,2026-04-28,2026-05-04,12.049285714285716,0.0,27.098818823322688,4.485714285714286,20.571428571428573
notificacoes,15,2026-04-28,2026-05-12,104.87491596638657,0.0,232.29987112461617,39.34285714285714,176.4245798319328
notificacoes,30,2026-04-28,2026-05-27,247.96731092436977,0.0,557.4517673977332,92.22857142857143,488.6079831932774
enfermaria,7,2026-04-28,2026-05-04,9.53357142857143,0.0,23.086023022286867,2.6,16.639285714285716
enfermaria,15,2026-04-28,2026-05-12,83.42726890756303,0.0,200.70870335077802,22.599999999999998,151.25063025210085
enfermaria,30,2026-04-28,2026-05-27,198.55403361344537,0.0,491.5763730907456,50.400000000000006,421.7987394957984
uti,7,2026-04-28,2026-05-04,2.515714285714286,0.7261112012287902,4.305317370199782,1.8857142857142857,4.0
uti,15,2026-04-28,2026-05-12,21.44764705882353,9.6272369141235,33.26805720352356,16.742857142857144,30.285714285714285
uti,30,2026-04-28,2026-05-27,49.41327731092438,29.87463166569531,68.95192295615345,41.828571428571436,66.80924369747905
obitos,7,2026-04-28,2026-05-04,0.3169047619047619,0.028540254919437902,0.6052692688900859,0.17857142857142858,0.5678571428571431
obitos,15,2026-04-28,2026-05-12,2.7872128851540614,0.1455228772015542,5.428902893106569,1.6071428571428572,5.109873949579834
obitos,30,2026-04-28,2026-05-27,6.888907563025211,0.0,14.62698995845611,3.8571428571428568,13.615966386554627
